colm1;colm2
-0.76477;-1.37532
1.00554;1.21334
-0.08361;-1.57231
0.03441;1.57668
-1.13729;-1.0912
-0.5082;-1.49249
1.05092;1.17616
-1.14499;-1.08609
-1.26346;0.94689
0.98351;1.23534
0.11182;-1.57541
0.00289;1.58039
0.47896;-1.50589
1.25002;0.96924
1.56797;-0.20869
-0.66538;1.43634
-0.24861;-1.56168
1.37763;-0.77852
0.69983;-1.41953
0.59819;-1.46622
-1.44075;-0.65984
-0.58309;1.47414
-1.33258;0.85938
-1.02889;1.2073
0.96048;1.26314
0.18793;-1.57548
1.5452;-0.36519
-0.05949;-1.58594
1.00069;1.23462
1.37907;-0.78863
0.98111;-1.24943
-1.57372;0.23179
0.43909;-1.52794
-1.27903;0.94749
-0.43887;-1.52996
-0.10351;1.58882
0.40544;-1.54016
0.4718;1.52189
-0.48589;1.51824
1.37473;-0.80699
-0.2333;-1.57663
-1.46332;0.63492
-0.7257;1.42215
1.35072;-0.8489
0.97281;1.26612
-1.44373;0.68506
-0.96907;1.2713
-1.0899;-1.1686
1.38221;-0.80238
-1.58507;-0.20947
-0.42531;-1.54159
0.10223;-1.59653
-1.59513;0.12835
0.78507;1.39627
-1.42514;-0.72964
0.25161;-1.58125
1.18339;1.08126
-1.47277;0.63485
1.57616;0.29199
1.5235;-0.49965
-1.50765;0.55037
1.21081;1.05274
0.32547;-1.5723
1.54372;-0.44294
1.01907;-1.24198
1.06505;1.20458
-0.77838;1.40748
1.52249;-0.51661
0.00612;1.6097
-1.31897;0.92321
1.07729;-1.19467
1.58954;0.25266
1.46267;0.67215
0.92475;1.31858
-1.53709;0.4847
1.02667;1.24298
-1.58498;-0.29561
-1.07649;1.20181
0.5677;-1.50977
-0.89942;-1.33918
-1.08973;1.19248
1.49895;0.60125
-1.31781;0.93617
-1.3941;-0.81793
-0.77649;-1.41749
1.61595;0.03942
0.24893;1.5984
-0.07601;1.61611
-1.50626;0.5926
-0.39063;-1.57111
-1.47925;-0.6576
0.01699;-1.61926
-0.10914;1.6177
0.7149;1.45599
0.79898;1.41172
-0.09749;-1.61818
0.33821;-1.58605
-1.48008;0.66768
1.44375;0.74142
-1.39962;0.82426
-1.29311;-0.98299
1.42877;0.77395
1.17751;-1.12079
-1.62359;0.08435
-0.79228;1.42118
-1.46501;0.70859
-1.55824;-0.46863
0.06274;-1.62604
-0.17393;1.62037
1.02635;1.26511
-1.16307;1.1423
-0.22641;-1.61415
0.46939;-1.56143
-0.79686;-1.42325
1.58269;0.39651
0.24264;-1.61386
1.17984;-1.12794
1.47481;0.70209
0.62938;-1.50659
